sequenceNo;name;title;menu;frame;bundle;active;uuid
10;AbsenceBaseData_UI;Absence base data;;net.nan21.dnet.module.hr.time.frame.AbsenceBaseData_UI;nan21.dnet.module.hr.ui.extjs;true;7A3DFAD1-E703-4A16-91C7-29CDA8C7C0C8
20;Absence_UI;Absences;;net.nan21.dnet.module.hr.time.frame.Absence_UI;nan21.dnet.module.hr.ui.extjs;true;817C5A5D-BAAC-4203-87A1-51621A426E4F
30;AccBalance_UI;Account balance;;net.nan21.dnet.module.md.tx.acc.frame.AccBalance_UI;nan21.dnet.module.md.ui.extjs;true;DEF6B16F-056B-47DF-BA40-B2CDAF9AF807
10;AccDoc_UI;Accounting documents;;net.nan21.dnet.module.md.tx.acc.frame.AccDoc_UI;nan21.dnet.module.md.ui.extjs;true;6273476A-FCFD-40F5-9F96-71DB3185E7A1
10;AccessControl_UI;Access rights;;net.nan21.dnet.module.ad.usr.frame.AccessControl_UI;nan21.dnet.module.ad.ui.extjs;true;D51A153A-12BC-4C65-A931-378E129F6778
30;AccItem_UI;G/L Items;;net.nan21.dnet.module.md.acc.frame.AccItem_UI;nan21.dnet.module.md.ui.extjs;true;2508B556-21EA-4A31-9C2E-50B2063C0EE2
40;AccJournal_UI;Journals;;net.nan21.dnet.module.md.acc.frame.AccJournal_UI;nan21.dnet.module.md.ui.extjs;true;289D1F15-FDB2-4F73-AF0E-32AB36140AAF
20;AccOperation_UI;Great ledger;;net.nan21.dnet.module.md.tx.acc.frame.AccOperation_UI;nan21.dnet.module.md.ui.extjs;true;12D14FA6-B3DC-4EBB-A856-CC370BB93A4A
20;Account_UI;Account chart;;net.nan21.dnet.module.md.acc.frame.Account_UI;nan21.dnet.module.md.ui.extjs;true;F8F79B22-CC86-4083-95B7-2BE81CA8067E
10;AccSchema_UI;Accounting schema;;net.nan21.dnet.module.md.acc.frame.AccSchema_UI;nan21.dnet.module.md.ui.extjs;true;3D778172-22F6-4B53-85FF-033C52645A7A
2;ad-menu-acl;Access control;;;;true;FD12B382-6EE9-4A9D-9840-819336E50778
10;ad-menu-client;Client;AD;;;true;B27EFBE3-AD79-4ACC-AD09-2C1B0547F643
40;ad-menu-data;Data;AD;;;true;EA26207C-E2F4-4F45-ACF8-6EBFD749B02C
2;ad-menu-exp;Export;;;;true;E84BBD96-A771-439C-962A-ADAB03D9D624
1;ad-menu-imp;Import;;;;true;CF424C67-DE29-4C7D-9B90-171C72A5AA97
50;ad-menu-impex;Import-Export;AD;;;true;71AA9DAA-2E27-41E1-B34C-043C56FCFCC3
80;ad-menu-job;Jobs;AD;;;true;EBEA50FD-EC2E-4546-BD58-D49CB98A3E93
70;ad-menu-rep;Reports;AD;;;true;D9B488AD-4BF4-4996-90D5-0F6B39B1D2D4
30;ad-menu-security;Security;AD;;;true;06FDEFA3-64B7-4528-89B4-18D3EEB769C8
20;ad-menu-system;System;AD;;;true;976A2A38-651F-4F12-96B0-08362141E7BC
1;ad-menu-usr;Users;;;;true;561C6150-96A6-4862-B2B0-2842E2423971
60;ad-menu-wf;Workflow;AD;;;true;3B737108-CA87-4E1B-A68E-5EFE3AACD401
30;Amortization_UI;Amortization;;net.nan21.dnet.module.fi.asset.frame.Amortization_UI;nan21.dnet.module.fi.ui.extjs;true;612EA975-99ED-4D43-A284-9A89BDC1D674
30;AsgnAccessControl_UI;Access rights - ASGN;;net.nan21.dnet.module.ad.usr.frame.AsgnAccessControl_UI;nan21.dnet.module.ad.ui.extjs;true;2CED6C56-5E0B-49F9-A237-0D1A715F3614
