name;menuItem
AbsenceBaseData_UI;hr-menu-time
Absence_UI;hr-menu-time
AccBalance_UI;fi-menu-tx-acc
AccDoc_UI;fi-menu-tx-acc
AccessControl_UI;ad-menu-acl
AccItem_UI;fi-menu-base-acc
AccJournal_UI;fi-menu-base-acc
AccOperation_UI;fi-menu-tx-acc
Account_UI;fi-menu-base-acc
AccSchema_UI;fi-menu-base-acc
ad-menu-acl;ad-menu-security
ad-menu-client;
ad-menu-data;
ad-menu-exp;ad-menu-impex
ad-menu-imp;ad-menu-impex
ad-menu-impex;
ad-menu-job;
ad-menu-rep;
ad-menu-security;
ad-menu-system;
ad-menu-usr;ad-menu-security
ad-menu-wf;
Amortization_UI;fi-menu-asset
AsgnAccessControl_UI;ad-menu-acl
AssetBaseData_UI;fi-menu-asset
Asset_UI;fi-menu-asset
Assignables_UI;ad-menu-usr
Attachments_UI;ad-menu-data
AttachmentType_UI;ad-menu-data
AttributeBaseData_UI;bd-menu-attr
AttributeSet_UI;bd-menu-attr
Attributes_UI;bd-menu-attr
AuditFieldRep_UI;ad-menu-system
Bank_UI;bp-menu-base
bd-menu-attr;
bd-menu-contact;
bd-menu-currency;
bd-menu-elem;
bd-menu-geo;
bd-menu-org;
bd-menu-stds;
bd-menu-time;
bd-menu-uom;
bp-menu;
bp-menu-base;bp-menu
bp-menu-md;bp-menu
BpAccount_UI;bp-menu-md
BPartner_UI;bp-menu-md
BP_BaseData_UI;bp-menu-base
CalendarEventTypeDef_UI;
Calendars_UI;bd-menu-time
Classifications_UI;bd-menu-stds
CommunicationChannelTypes_UI;bd-menu-contact
Contact_UI;bp-menu-md
Countries_UI;bd-menu-geo
CountryMD_UI;bd-menu-geo
CourseType_UI;hr-menu-training
Course_UI;hr-menu-training
CsvExport_UI;ad-menu-exp
Currencies_UI;bd-menu-currency
CurrencyXrateProvider_UI;bd-menu-currency
CurrencyXRates_UI;bd-menu-currency
DsAccessControl_UI;ad-menu-acl
DsMethodAccessControl_UI;ad-menu-acl
ElementBaseData_UI;bd-menu-elem
ElementSet_UI;bd-menu-elem
Element_UI;bd-menu-elem
EmployeeAssignment_UI;hr-menu-employee
EmployeeTypeDefs_UI;hr-menu-employee
Employee_UI;hr-menu-employee
ExportJob_UI;ad-menu-exp
ExportMap_UI;ad-menu-exp
fi-menu-asset;
fi-menu-base;
fi-menu-base-acc;fi-menu-base
fi-menu-base-doc;fi-menu-base
fi-menu-base-pay;fi-menu-base
fi-menu-base-tax;fi-menu-base
fi-menu-period;
fi-menu-tx-acc;
fi-menu-tx-fin;
FiscalPeriod_UI;fi-menu-period
FiscalYear_UI;fi-menu-period
GradeRate_UI;hr-menu-grade
Grade_UI;hr-menu-grade
hr-menu-employee;
hr-menu-grade;
hr-menu-job;
hr-menu-payroll;
hr-menu-payroll-setup;hr-menu-payroll
hr-menu-skill;
hr-menu-time;
hr-menu-training;
ImportJob_UI;ad-menu-imp
ImportMapItem_UI;ad-menu-imp
ImportMap_UI;ad-menu-imp
InvBalance_UI;iv-menu-tx
InvOperations_UI;iv-menu-tx
InvTransactions_UI;iv-menu-tx
InvTransfer_UI;iv-menu-tx
InvTxTypes_UI;iv-menu-base
IssueBaseData_UI;pj-menu-base
IssueChangelog_UI;pj-menu-projects
IssueRoadmap_UI;pj-menu-projects
IssuesMnt_UI;pj-menu-issues
Issues_UI;pj-menu-issues
IssueTask_UI;pj-menu-issues
iv-menu-base;
iv-menu-tx;
JobBaseDataDef_UI;hr-menu-job
Job_UI;hr-menu-job
Locations_UI;bd-menu-geo
Menu_UI;ad-menu-system
mm-menu;
mm-menu-base;mm-menu
mm-menu-md;mm-menu
MyCalendarEvent_UI;
MyClient_UI;ad-menu-client
OpportunityBaseData_UI;sd-menu-opportunity
Opportunity_UI;sd-menu-opportunity
Org_UI;bd-menu-org
FinancialAccount_UI;fi-menu-base-acc
PaymentIn_UI;sd-menu-pay
PaymentOut_UI;sc-menu-pay
Payment_UI;fi-menu-tx-fin
PayrollBalanceValue_UI;hr-menu-payroll
PayrollElementFormulas_UI;hr-menu-payroll-setup
PayrollElementInputs_UI;hr-menu-payroll-setup
PayrollElements_UI;hr-menu-payroll-setup
PayrollElementValue_UI;hr-menu-payroll
PayrollElement_UI;hr-menu-payroll-setup
PayrollManualValue_UI;hr-menu-payroll
Payroll_UI;hr-menu-payroll
PayScaleRate_UI;hr-menu-grade
PayScale_UI;hr-menu-grade
pj-menu-base;
pj-menu-issues;
pj-menu-projects;
Position_UI;hr-menu-job
PriceListVersions_UI-SC;sc-menu-price
PriceListVersions_UI-SD;sd-menu-price
PriceList_UI-SC;sc-menu-price
PriceList_UI-SD;sd-menu-price
ProductAccountGroup_UI;mm-menu-base
ProductAttribute_UI;mm-menu-md
ProductBaseData_UI;mm-menu-base
ProductCategory_UI;mm-menu-md
ProductPriceReport_UI-SC;sc-menu-price
ProductPriceReport_UI-SD;sd-menu-price
Product_UI;mm-menu-md
ProjectBaseData_UI;pj-menu-base
Projects_UI;pj-menu-projects
ProjectVersions_UI;pj-menu-projects
PurchaseInvoiceBaseData_UI;sc-menu-invoice
PurchaseInvoice_UI;sc-menu-invoice
PurchaseOrderBaseData_UI;sc-menu-order
PurchaseOrder_UI;sc-menu-order
PurchaseReception_UI;sc-menu-order
RatingLevel_UI;hr-menu-skill
RatingScale_UI;hr-menu-skill
RegionMD_UI;bd-menu-geo
Regions_UI;bd-menu-geo
ReportServers_UI;ad-menu-rep
Reports_UI;ad-menu-rep
Role_UI;ad-menu-usr
SalesDelivery_UI;sd-menu-order
SalesInvoiceBaseData_UI;sd-menu-invoice
SalesInvoice_UI;sd-menu-invoice
SalesOrderBaseData_UI;sd-menu-order
SalesOrder_UI;sd-menu-order
sc-menu-invoice;
sc-menu-order;
sc-menu-pay;
sc-menu-price;
sd-menu-invoice;
sd-menu-opportunity;
sd-menu-order;
sd-menu-pay;
sd-menu-price;
SkillType_UI;hr-menu-skill
Skill_UI;hr-menu-skill
StockLocatorTypes_UI;iv-menu-base
SubInventories_UI;iv-menu-base
SysDataSources_UI;ad-menu-system
SysDateFormat_UI;ad-menu-system
SysFrameExtension_UI;ad-menu-system
SysJobCtx_UI;ad-menu-job
SysJob_UI;ad-menu-system
SysParam_UI;ad-menu-system
SysTimer_UI;ad-menu-job
TaxCategories_UI;fi-menu-base-tax
Tax_UI;fi-menu-base-tax
TxBaseData_UI;fi-menu-base-pay
TxDocType_UI;fi-menu-base-doc
UiViewState_UI;ad-menu-system
UomConversion_UI;bd-menu-uom
UomMD_UI;bd-menu-uom
Uoms_UI;bd-menu-uom
UomType_UI;bd-menu-uom
UserGroups_UI;ad-menu-usr
Users_UI;ad-menu-usr
UserTypes_UI;ad-menu-usr
WorkflowAdmin_UI;ad-menu-wf
WorkflowDef_UI;ad-menu-wf
WorkflowTodo_UI;ad-menu-wf
