accessControl;dsName;queryAllowed;insertAllowed;updateAllowed;deleteAllowed;importAllowed;exportAllowed
bd-currency-rw;Currency;true;true;true;true;false;false
bd-currency-rw;CurrencyLov;true;true;true;true;false;false
bd-currency-rw;CurrencyXRate;true;true;true;true;false;false
bd-currency-rw;CurrencyXRateAverage;true;true;true;true;false;false
bd-currency-rw;CurrencyXRateProvider;true;true;true;true;false;false
bd-currency-rw;CurrencyXRateProviderLov;true;true;true;true;false;false
bd-geo-rw;City;true;true;true;true;false;false
bd-geo-rw;Country;true;true;true;true;false;false
bd-geo-rw;CountryLov;true;true;true;true;false;false
bd-geo-rw;Location;true;true;true;true;false;false
bd-geo-rw;LocationLov;true;true;true;true;false;false
bd-geo-rw;LocationToBillLov;true;true;true;true;false;false
bd-geo-rw;LocationToShipLov;true;true;true;true;false;false
bd-geo-rw;Region;true;true;true;true;false;false
bd-geo-rw;RegionLov;true;true;true;true;false;false
bd-ro;City;true;false;false;false;false;false
bd-ro;Country;true;false;false;false;false;false
bd-ro;CountryLov;true;false;false;false;false;false
bd-ro;Currency;true;false;false;false;false;false
bd-ro;CurrencyLov;true;false;false;false;false;false
bd-ro;CurrencyXRate;true;false;false;false;false;false
bd-ro;CurrencyXRateAverage;true;false;false;false;false;false
bd-ro;CurrencyXRateProvider;true;false;false;false;false;false
bd-ro;CurrencyXRateProviderLov;true;false;false;false;false;false
bd-ro;Location;true;false;false;false;false;false
bd-ro;LocationLov;true;false;false;false;false;false
bd-ro;LocationToBillLov;true;false;false;false;false;false
bd-ro;LocationToShipLov;true;false;false;false;false;false
bd-ro;Region;true;false;false;false;false;false
bd-ro;RegionLov;true;false;false;false;false;false
bd-ro;Uom;true;false;false;false;false;false
bd-ro;UomConversion;true;false;false;false;false;false
bd-ro;UomLengthLov;true;false;false;false;false;false
bd-ro;UomLov;true;false;false;false;false;false
bd-ro;UomMassLov;true;false;false;false;false;false
bd-ro;UomType;true;false;false;false;false;false
bd-ro;UomTypeLov;true;false;false;false;false;false
bd-ro;UomVolumeLov;true;false;false;false;false;false
bd-uom-rw;Uom;true;true;true;true;false;false
bd-uom-rw;UomConversion;true;true;true;true;false;false
bd-uom-rw;UomLengthLov;true;true;true;true;false;false
bd-uom-rw;UomLov;true;true;true;true;false;false
bd-uom-rw;UomMassLov;true;true;true;true;false;false
bd-uom-rw;UomType;true;true;true;true;false;false
bd-uom-rw;UomTypeLov;true;true;true;true;false;false
bd-uom-rw;UomVolumeLov;true;true;true;true;false;false
connect;BookmarkRtLov;true;false;false;false;false;false
connect;MenuItemRtLov;true;false;false;false;false;false
connect;MenuRtLov;true;false;false;false;false;false
connect;UiViewStateRTLov;true;false;false;false;false;false
