"accSchema";"code";"name";"sign";"summary";"notes";"active"
"std";"1";"CONTURI DE CAPITALURI";"1";"false";;"true"
"std";"10";"CAPITAL SI REZERVE";"1";"false";;"true"
"std";"101";"Capital";"1";"false";;"true"
"std";"1011";"Capital subscris nevarsat";"1";"false";;"true"
"std";"1012";"Capital subscris varsat";"1";"false";;"true"
"std";"1015";"Patrimoniul regiei";"1";"false";;"true"
"std";"1016";"Patrimoniul public";"1";"false";;"true"
"std";"104";"Prime legate de capital";"1";"false";;"true"
"std";"1041";"Prime de emisiune";"1";"false";;"true"
"std";"1042";"Prime de fuziune";"1";"false";;"true"
"std";"1043";"Prime de aport";"1";"false";;"true"
"std";"1044";"Prime de conversie a obligatiunilor in actiuni";"1";"false";;"true"
"std";"105";"Rezerve din reevaluare";"1";"false";;"true"
"std";"106";"Rezerve";"1";"false";;"true"
"std";"1061";"Rezerve legale";"1";"false";;"true"
"std";"1062";"Rezerve pentru actiuni proprii";"1";"false";;"true"
"std";"1063";"Rezerve statutare sau contractuale";"1";"false";;"true"
"std";"1068";"Alte rezerve";"1";"false";;"true"
"std";"11";"REZULTATUL REPORTAT";"1";"false";;"true"
"std";"117";"Rezultatul reportat";"1";"false";;"true"
"std";"12";"REZULTATUL EXERCITIULUI";"1";"false";;"true"
"std";"121";"Profit si pierdere";"1";"false";;"true"
"std";"129";"Repartizarea profitului";"1";"false";;"true"
"std";"13";"SUBVENTII PENTRU INVESTITII";"1";"false";;"true"
"std";"131";"Subventii pentru investitii";"1";"false";;"true"
"std";"15";"PROVIZIOANE PENTRU RISCURI SI CHELTUIELI";"1";"false";;"true"
"std";"151";"Provizioane pentru riscuri si cheltuieli";"1";"false";;"true"
"std";"1511";"Provizioane pentru litigii";"1";"false";;"true"
"std";"1512";"Provizioane pentru garantii acordate clientilor";"1";"false";;"true"
"std";"1518";"Alte provizioane pentru riscuri si cheltuieli";"1";"false";;"true"
"std";"16";"IMPRUMUTURI SI DATORII ASIMILATE";"1";"false";;"true"
"std";"161";"Imprumuturi din emisiuni de obligatiuni";"1";"false";;"true"
"std";"162";"Credite bancare pe termen lung - ";"1";"false";;"true"
"std";"1621";"Credite bancare pe termen lung";"1";"false";;"true"
"std";"1622";"Credite bancare pe termen lung nerambursate la scadenta";"1";"false";;"true"
"std";"1623";"Credite externe guvernamentale";"1";"false";;"true"
"std";"1624";"Credite bancare externe garantate de stat";"1";"false";;"true"
"std";"1625";"Credite bancare externe garantate de banci";"1";"false";;"true"
"std";"1626";"Credite de la trezoreria statului";"1";"false";;"true"
"std";"1627";"Credite bancare interne garantate de stat";"1";"false";;"true"
"std";"166";"Datorii ce privesc imobilizarile financiare";"1";"false";;"true"
"std";"1661";"Datorii catre societatile din cadrul grupului";"1";"false";;"true"
"std";"1662";"Datorii catre societatile care detin interese de participare";"1";"false";;"true"
"std";"167";"Alte imprumuturi si datorii asimilate";"1";"false";;"true"
"std";"168";"Dobanzi aferente imprumuturilor si datoriilor asimilate";"1";"false";;"true"
"std";"1681";"Dobanzi aferente imprumuturilor din emisiunea de obligatiuni";"1";"false";;"true"
"std";"1682";"Dobanzi aferente creditelor bancare pe termen lung";"1";"false";;"true"
"std";"1685";"Dobanzi aferente datoriilor catre societatile din cadrul grupului";"1";"false";;"true"
