"name";"code";"iso3";"active"
"Australian Dollar";"AUD";"AUD";"true"
"British Pound";"GBP";"GBP";"true"
"Canadian Dollar";"CAD";"CAD";"true"
"Euro";"EUR";"EUR";"true"
"Hong Kong Dollar";"HKD";"HKD";"true"
"Hungarian Forint";"HUF";"HUF";"true"
"Japanese Yen";"JPY";"JPY";"true"
"New Zealand Dollar";"NZD";"NZD";"true"
"Norwegian Kroner";"NOK";"NOK";"true"
"Romanian Leu";"RON";"RON";"true"
"Russian Rouble";"RUB";"RUB";"true"
"Saudi Riyal";"SAR";"SAR";"true"
"Swedish Krona";"SEK";"SEK";"true"
"Swiss Franc";"CHF";"CHF";"true"
"Taiwan Dollar";"TWD";"TWD";"true"
"US Dollar";"USD";"USD";"true"
"United Arab Emirates Dirham";"AED";"AED";"true"
