"code";"name";"type";"active"
"DAY";"Day";"Time";"true"
"DZ";"Dozen";"Quantity";"true"
"EA";"Each";"Quantity";"true"
"GB";"Giga-bytes";"Data-storage";"true"
"GHz";"GigaHertz";"Frequency";"true"
"G";"Gram";"Mass";"true"
"HDZ";"Half-Dozen";"Quantity";"true"
"INCH";"Inches";"Length";"true"
"KB";"Kilo-bytes";"Data-storage";"true"
"KHz";"KiloHertz";"Frequency";"true"
"KG";"Kilogram";"Mass";"true"
"KM";"Kilometers";"Length";"true"
"LT";"Litres";"Volume";"true"
"MB";"Mega-bytes";"Data-storage";"true"
"MHz";"MegaHertz";"Frequency";"true"
"M";"Meters";"Length";"true"
"MM";"Milimeters";"Length";"true"
"MONTH";"Month";"Time";"true"
"POUND";"Pound";"Mass";"true"
"RPM";"Rotation/minute";"Speed";"true"
"SECOND";"Seconds";"Time";"true"
"WEEK";"Week";"Time";"true"
