sequenceNo;element;validFrom;validTo;expression;uuid
1;salariu_brut;2012-01-01 24:00;;_employee.baseSalary;209A93CB-5FBB-4FBB-A056-81140838E53D
110;scutit_impozit;2012-01-01 24:00;;false;C3D21FAC-545A-4F7C-B0C4-DCFFDD0AF1EB
120;persoane_intretinere;2012-01-01 24:00;;"function calc_nr_persoane_intretinere (empl) {
  var count = 0; 
  for( var i=0, l=empl.contacts.size(); i<l; i++ ) {
    if ( empl.contacts.get(i).isDependendent) {
      count++;
    }
  }
  return count;
}
calc_nr_persoane_intretinere (_employee)";C472318D-8EA8-45C5-AC2C-1DE84DCEF8A3
410;cas_angajat;2012-01-01 24:00;;Math.round ( 10.5 * salariu_brut / 100 );EBBF686C-FE33-42EA-9DBE-717E7CDA581B
420;somaj_angajat;2012-01-01 24:00;;Math.round ( 0.5 * salariu_brut / 100 );2FE3D7FA-AE7E-4B1E-BAAF-5D8FC8241857
430;cass_angajat;2012-01-01 24:00;;Math.round ( 5.5 * salariu_brut / 100 );620BD182-A9D2-4AA3-B85B-1B00189346F2
470;taxe_angajat;2012-01-01 24:00;;cas_angajat + cass_angajat + somaj_angajat;8583046D-DEEA-4293-AE7C-3157F0B48FBB
520;deducere_pers;2012-01-01 24:00;;"function calc_deduceri_angajat( venit, pers) {
  if (venit > 3000) {
    return 0;
  }
  var k = (pers<=4)?pers:4;
  if(venit<=1000) {
    return 250 + k*100;
  } else {
    return (250 + k*100) * [1-(venit-1000)/2000]
  }
}
calc_deduceri_angajat(salariu_brut, persoane_intretinere)";08921CBF-A69D-4EA4-AC2F-2F8AA6F7359B
530;deducere_suplim;2012-01-01 24:00;;0;A9E94BF8-7010-45F4-9C19-518292E3EC40
540;deducere_tot;2012-01-01 24:00;;deducere_pers + deducere_suplim;FEB7A483-48BE-4CD2-9DBE-D935F47082CD
610;cas_unitate;2012-01-01 24:00;;Math.round ( 20.8 * salariu_brut / 100 );179DBD1D-04AF-4F27-8C48-28DE13EF3DF5
620;somaj_unitate;2012-01-01 24:00;;Math.round ( 0.5 * salariu_brut / 100 );480885A7-7EBE-422F-AFC4-FF352637A7D9
630;cass_unitate;2012-01-01 24:00;;Math.round ( 5.2 * salariu_brut / 100 );2C81B212-90E1-4936-A8A4-2404E22F73F5
975;salariu_net;2012-01-01 24:00;;salariu_brut - taxe_angajat;C88452A2-D7F6-4881-B298-AA2B9F3FA3B1
980;salariu_baza_impozit;2012-01-01 24:00;;"function baza_calcul ( v,d ){
  var b = v-d;
  return ( b>0 )? b : 0; 
}

baza_calcul ( salariu_net , deducere_tot )";7638A22B-63DB-4FEE-9B32-1E772FEC195E
985;impozit;2012-01-01 24:00;;Math.round ( 16 * salariu_brut / 100 );CEC78BF3-8709-4D50-A0C0-87C77B35B1D8
