"name";"title";"description";"listOfvalues";"type";"dataType";"uom";"active"
"book.author";"Author";"Book author(s)";"";"Book";"string";;"true"
"book.language";"Language";"Primary language the book is written";"";"Book";"string";;"true"
"book.pages";"Number of pages";"Number of pages ";"";"Book";"integer";;"true"
"book.publisher";"Publisher";"Book publisher";"";"Book";"string";;"true"
"common.color";"Color";"Main color of a product";"";"Common";"string";;"true"
"common.colors";"Available colors";"Available colors for a product";"";"Common";"string";;"true"
"cpu.cache";"Cache";"Processor cache in kilo-bytes";"";"CPU";"integer";"Kilo-bytes";"true"
"cpu.frequency";"CPU frequency";"Processor speed expressed in mega-hertz (MHz)";"";"CPU";"integer";"MegaHertz";"true"
"cpu.manufacturer";"Manufacturer";"Processor manufacturer";"Intel,AMD";"CPU";"string";;"true"
"cpu.model";"Model";"Processor model";"";"CPU";"string";;"true"
"cpu.type";"Type";"Processor type";"";"CPU";"string";;"true"
"display.others";"Others";"Other information";"";"Display";"string";;"true"
"display.rezolution";"Rezolution";"Display rezolution";"";"Display";"string";;"true"
"display.technology";"Technology";"Display technology";"TFT,LCD,LED";"Display";"string";;"true"
"display.width";"Width";;;"Display";"decimal";"Inches";"true"
"furniture.assemble";"Assembling required";"";"";"Sofa";"boolean";;"true"
"furniture.extensible";"Extensible";"";"";"Sofa";"boolean";;"true"
"furniture.upholstery";"Upholstery";"";"Microfiber,Leather";"Sofa";"string";;"true"
"hdd.size";"Size";;;"Harddisk";"decimal";"Giga-bytes";"true"
"hdd.speed";"Speed";;;"Harddisk";"decimal";;"true"
"hdd.type";"Type";;"IDE,SATA";"Harddisk";"string";;"true"
"memory.max";"Maximum ";;;"Memory";"decimal";"Giga-bytes";"true"
"memory.size";"Size";;;"Memory";"decimal";"Giga-bytes";"true"
"memory.slotall";"Total slots";;;"Memory";"integer";;"true"
"memory.slotfree";"Available slots";;;"Memory";"integer";;"true"
"memory.type";"Type";;"DDR2,DDR3";"Memory";"string";;"true"
